127.0.0.1 - - [18/Aug/2019:22:37:35 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:05 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:05 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:05 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:40 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 14854
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:50 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 15142
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
